id,reference,brand,power,city,responsible
100,ACH02,Jinko,217,Pereira,Diego
832,ACH02,Talesun,1307,Pereira,Jose
9610,ACH03,Jinko,867,Manizales,Carlos
4015,ACH02,Suntech,1445,Bogota,Sonia
6441,ACH02,Talesun,475,Medellin,Carlos
5466,ACH03,Talesun,1790,Pereira,Diego
712,ACH01,Jinko,491,Medellin,Wilson
8684,ACH03,Suntech,1666,Manizales,Carlos
682,ACH03,Risen,1432,Medellin,Jose
9881,ACH02,Talesun,676,Bogota,Jose
2947,ACH03,Talesun,1982,Manizales,Carlos
1323,ACH03,Risen,1191,Pereira,Diego
7879,ACH01,Suntech,470,Manizales,Diego
1906,ACH01,Risen,1588,Manizales,Diego
727,ACH03,Risen,1162,Medellin,Sonia
1031,ACH02,Risen,225,Manizales,Sonia
3439,ACH01,Suntech,1167,Cali,Jose
8426,ACH01,Suntech,239,Cali,Sonia
5291,ACH03,Jinko,1626,Manizales,Carlos
8132,ACH01,Suntech,511,Bogota,Carlos
4135,ACH03,Talesun,1980,Pereira,Wilson
6789,ACH03,Risen,702,Pereira,Jose
6745,ACH01,Suntech,974,Bogota,Jose
1866,ACH03,Talesun,336,Bogota,Wilson
7011,ACH02,Suntech,1635,Pereira,Carlos
3440,ACH02,Jinko,638,Bogota,Wilson
8491,ACH02,Suntech,196,Medellin,Sonia
441,ACH02,Suntech,1796,Medellin,Carlos
8177,ACH03,Talesun,251,Pereira,Sonia
2732,ACH02,Suntech,1832,Cali,Diego
3951,ACH02,Suntech,1991,Manizales,Wilson
8597,ACH02,Jinko,1628,Medellin,Sonia
2903,ACH03,Suntech,234,Cali,Wilson
6440,ACH01,Suntech,1050,Cali,Carlos
5858,ACH03,Jinko,164,Medellin,Wilson
2380,ACH01,Risen,1490,Bogota,Carlos
5800,ACH02,Jinko,607,Manizales,Carlos
3576,ACH03,Jinko,1984,Manizales,Wilson
9323,ACH03,Talesun,229,Cali,Sonia
2385,ACH03,Jinko,972,Bogota,Wilson
1761,ACH02,Risen,1339,Bogota,Diego
4410,ACH01,Talesun,600,Pereira,Sonia
3713,ACH03,Jinko,915,Manizales,Jose
7736,ACH03,Jinko,1130,Bogota,Carlos
8709,ACH01,Talesun,1425,Cali,Jose
3414,ACH01,Talesun,288,Manizales,Diego
5527,ACH02,Risen,798,Cali,Jose
461,ACH03,Risen,382,Medellin,Sonia
3572,ACH03,Talesun,1269,Bogota,Jose
448,ACH03,Talesun,1003,Bogota,Jose
8024,ACH01,Risen,1021,Bogota,Diego
3888,ACH03,Jinko,264,Cali,Diego
8755,ACH03,Jinko,967,Bogota,Wilson
2170,ACH03,Talesun,243,Medellin,Jose
6000,ACH02,Risen,647,Medellin,Diego
6391,ACH03,Jinko,577,Cali,Carlos
7448,ACH02,Risen,1209,Pereira,Diego
5444,ACH02,Suntech,423,Manizales,Wilson
1006,ACH01,Suntech,1694,Pereira,Carlos
4733,ACH01,Risen,744,Cali,Carlos
86,ACH01,Jinko,1391,Manizales,Wilson
3742,ACH01,Talesun,458,Manizales,Jose
3234,ACH03,Risen,1718,Pereira,Sonia
3605,ACH01,Talesun,283,Cali,Sonia
4833,ACH02,Suntech,171,Bogota,Carlos
8159,ACH02,Jinko,1642,Pereira,Jose
5966,ACH03,Talesun,872,Cali,Sonia
7775,ACH02,Suntech,1816,Medellin,Diego
6438,ACH01,Suntech,523,Bogota,Jose
1659,ACH01,Jinko,1209,Medellin,Carlos
4998,ACH02,Talesun,600,Pereira,Sonia
