comuna,ica,fecha,id
comuna 10,49,2024-01-30,5761
comuna 15,36,2024-01-30,7859
comuna 7,47,2024-06-23,33386
comuna 16,28,2024-01-30,26446
comuna 6,100,2024-06-23,46922
comuna 14,13,2024-06-25,21798
comuna 6,41,2024-06-23,28040
comuna 10,45,2024-01-30,26697
comuna 9,12,2024-01-30,19977
comuna 8,100,2024-06-23,9993
comuna 2,39,2024-07-31,14235
comuna 11,89,2024-07-31,28095
comuna 16,72,2024-01-30,17844
comuna 4,13,2024-07-31,21281
comuna 11,15,2024-06-25,29969
comuna 1,90,2024-07-31,1285
comuna 11,34,2024-06-25,23360
comuna 16,71,2024-01-30,36952
comuna 15,52,2024-06-25,10663
comuna 2,65,2024-06-23,12094
comuna 3,37,2024-06-25,49099
comuna 9,72,2024-06-23,29073
comuna 9,36,2024-06-25,18043
comuna 13,69,2024-06-25,7918
comuna 12,66,2024-06-25,36935
comuna 14,88,2024-01-30,47724
comuna 9,87,2024-06-25,31840
comuna 12,98,2024-06-23,33664
comuna 9,77,2024-01-30,33699
comuna 9,42,2024-07-31,15590
comuna 9,83,2024-06-25,9386
comuna 2,58,2024-07-31,3467
comuna 14,78,2024-01-30,13549
comuna 11,89,2024-07-31,2033
comuna 11,87,2024-06-25,7370
comuna 12,76,2024-06-23,13221
comuna 10,39,2024-01-30,36402
comuna 7,97,2024-07-31,6156
comuna 10,74,2024-06-25,22599
comuna 9,61,2024-06-25,29908
comuna 3,78,2024-06-25,15427
comuna 5,40,2024-06-25,7420
comuna 3,15,2024-06-23,27793
comuna 4,100,2024-01-30,20922
comuna 3,58,2024-07-31,8497
comuna 9,31,2024-01-30,28621
comuna 4,60,2024-07-31,16906
comuna 5,14,2024-01-30,44076
comuna 15,66,2024-07-31,21316
comuna 3,47,2024-06-23,16776
comuna 1,97,2024-06-23,11110
comuna 14,39,2024-07-31,42235
comuna 1,36,2024-06-25,19454
comuna 13,65,2024-01-30,27712
comuna 13,59,2024-01-30,4792
comuna 15,43,2024-01-30,4356
comuna 3,36,2024-07-31,27729
comuna 3,45,2024-06-25,42503
comuna 5,93,2024-01-30,40539
comuna 16,79,2024-01-30,46306
comuna 13,95,2024-07-31,40457
comuna 8,60,2024-06-25,36749
comuna 10,61,2024-06-25,24868
comuna 2,71,2024-07-31,10365
comuna 3,41,2024-01-30,42931
comuna 4,37,2024-07-31,5363
comuna 6,62,2024-01-30,11089
comuna 1,28,2024-07-31,37979
comuna 7,38,2024-01-30,22774
comuna 6,25,2024-06-23,39519
comuna 9,10,2024-01-30,822
comuna 3,39,2024-06-23,47908
comuna 2,37,2024-06-23,10057
comuna 8,57,2024-06-25,8059
comuna 16,57,2024-06-25,27099
comuna 4,43,2024-06-25,35116
comuna 14,26,2024-01-30,28499
comuna 7,61,2024-06-23,21460
comuna 3,84,2024-01-30,48615
comuna 2,14,2024-06-25,26643
comuna 8,80,2024-01-30,4554
comuna 2,77,2024-01-30,21124
comuna 14,52,2024-07-31,6755
comuna 1,37,2024-06-23,23665
comuna 4,55,2024-06-23,44248
comuna 9,55,2024-06-25,24886
comuna 3,91,2024-07-31,26157
comuna 9,93,2024-06-25,31948
comuna 7,77,2024-06-25,22437
comuna 9,88,2024-01-30,23799
comuna 1,90,2024-06-25,35717
comuna 6,87,2024-07-31,22986
comuna 8,26,2024-06-25,43148
comuna 8,68,2024-06-25,5037
comuna 12,19,2024-06-25,40725
comuna 16,43,2024-07-31,40578
comuna 8,15,2024-07-31,46964
comuna 3,56,2024-07-31,14703
comuna 8,67,2024-01-30,18219
comuna 1,42,2024-06-23,28854
comuna 6,46,2024-01-30,46267
comuna 10,17,2024-07-31,33769
comuna 14,30,2024-07-31,10674
comuna 8,93,2024-06-23,49656
comuna 15,43,2024-01-30,41994
comuna 13,65,2024-06-25,41020
